x,y,text,color
215,400,Time? 'Real'? 'Non real'? Brief? Long?,#ffff66
175,425,Can we build in mutual accommodation to human/machine relations?,#ffff66
215,425,Do signals really contain information?,#ffff66
320,200,"Is there a ""Hawthorne effect"" for machine listening?",#ffff66
350,205,Bias/ diversity - Algorithmic unconscious ,#ffff66
275,240,Is machine listening reductive?,#ffff66
300,280,Exploring the differences between humans and machine listening ,#ffff66
300,315,What is listening for humans? for algorithms?,#ffff66
295,355,what is the difference between machine listening and listening machines?,#ffff66
260,400,what is human/ machine collaboration?,#ffff66
310,400,"When is ""listening"" happening in terms of algorithms (i.e. after capture)",#ffff66
275,440,Pask's Ear,#ffff66
275,450,??? LISTENING WORK,#ffff66
400,275,"What is the value of the notion of the ""human"" in this research",#ffff66
350,310,Abstraction might be good? Sonicity?,#ffff66
390,350,"What are the assumptions of ""what are algorithms listening to?""",#ffff66
350,375,"""raw"" data - is there such a thing?",#ffff66
375,400,How can ML facilitate non-normative cultural technologies?,#ffff66
350,440,Machine listening is not the end point,#ffff66
350,450,Population based machine listening,#ffff66
400,425,Cross discipline survey(s) of actual method,#ffff66
525,140,How can algorithmic listening map myths and their evolution,#ffff66
450,190,"WHAT DOES IT MEAN TO ""HUMANISE""? HOW IS THIS HELPFUL FOR THINKING ABOUT LISTENING?",#ffff66
525,190,The kinds of stories we tell ourselves / how these technologies reveal the stories we tell,#ffff66
450,250,Is the concept of listening a useful concept in this context?,#ffff66
500,225,ALTERITY - what if we embrace & pursue - is it romantic/ escape,#ffff66
560,225,"How can arts/ hum research be as potent as Google (say) with out server farms, infinte budgets ... ",#ffff66
525,285,What are the subject postitions constructed in models of machine listening?,#ffff66
525,325,"Do we need to rename ""machine listening""?",#ffff66
440,375,What is an algorithm and what does it do?,#ffff66
490,375,How can we group the specifically machinic that ML adds to the what it supposedly analyzes?,#ffff66
440,410,By what structural means can we make machine listeners remain transparent??,#ffff66
520,410,"Should ""humans"" listen to ""algorithms""",#ffff66
460,425,Do we want to listen to our algorithms?,#ffff66
460,450,"How can we make algorithms ""argue"" with each other?",#ffff66
540,460,I asked Alexa to tell me something .... = I broadcast my desires to a community of market allied data scientists,#ffff66
625,160,Can you 3D print algorithmic listening models?,#ffff66
690,170,What is an archive/ database - past/future - what do archives dream of?,#ffff66
620,200,McCluham - talking to the dead,#ffff66
660,220,What is the role of culture and aesthetics in this research?,#ffff66
610,265,Algorithmic selves - what it means to adapt oneself somewhat to algorithms,#ffff66
660,265,Is it possible to do cultural criticiams through the use of machine methods?,#ffff66
575,300,"Should the research use ""capture"" (AORE) rather than ""listening""?",#ffff66
640,300,"Where are issues gender, class, race etc. in terms of this research?",#ffff66
690,300,Questioning neutrality in terms of the contours of this research,#ffff66
570,325,Is there a relationship bewteen machine listening and captology?,#ffff66
640,325,What are the political economic implications and questions for this research?,#ffff66
610,375,Legislation - public understanding of machine listening,#ffff66
580,390,The ethics and norms of machine listening?,#ffff66
650,410,Ethics of things as well as people - prospective ethics ambivalence,#ffff66
675,440,HAL: for whose purpose and to what end?,#ffff66
